time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,moving,grade_smooth,torque
0,,78,96,0.0,145.0,43.603172,1.451325,0.0,false,0.0,
1,,78,96,0.0,145.0,43.603172,1.451325,0.0,false,0.0,
2,,78,96,0.0,145.0,43.603172,1.451325,0.0,false,0.0,
3,,78,97,0.0,145.0,43.603172,1.451325,0.0,false,0.0,
4,,78,97,0.0,145.0,43.60317,1.451329,0.0,false,0.0,
5,,78,97,0.0,145.0,43.603165,1.451334,0.0,false,0.0,
6,,78,97,0.0,145.0,43.603153,1.451343,0.0,false,0.0,
7,,78,98,3.0,145.0,43.603146,1.451353,0.6,true,0.0,
8,,78,99,6.0,145.0,43.60313,1.451366,1.2,true,0.0,
9,,78,101,9.0,145.0,43.60312,1.45138,1.8,true,0.0,
10,,78,104,12.0,145.0,43.6031,1.451396,2.4,true,0.0,
11,,78,105,14.5,145.0,43.60308,1.451413,2.9,true,0.0,
12,,78,107,17.0,145.0,43.603058,1.45143,2.8,true,0.0,
13,170,78,108,20.0,145.0,43.603035,1.451447,2.8,true,0.0,21
14,169,78,110,23.0,145.0,43.603012,1.451463,2.8,true,0.0,21
15,179,78,111,26.0,145.0,43.602985,1.451478,2.8,true,0.0,22
16,190,79,112,29.0,145.0,43.602962,1.451492,2.9,true,0.0,23
17,202,79,114,32.5,145.0,43.602936,1.451506,3.1,true,0.0,24
18,215,79,117,36.0,145.0,43.60291,1.45152,3.2,true,0.0,26
19,223,79,119,39.0,145.0,43.602882,1.451535,3.2,true,0.0,27
20,232,79,121,42.0,145.0,43.602856,1.45155,3.2,true,0.0,28
21,239,79,123,45.0,145.0,43.60283,1.451564,3.2,true,0.0,29
22,246,79,123,48.0,145.0,43.602802,1.45158,3.1,true,0.0,30
23,250,78,124,51.5,145.0,43.602776,1.451595,3.1,true,0.0,31
24,254,78,124,55.0,145.0,43.60275,1.451611,3.2,true,0.0,31
25,256,78,127,58.5,145.0,43.602722,1.451628,3.3,true,0.0,31
26,259,78,129,62.0,145.0,43.602695,1.451643,3.4,true,0.0,32
27,261,78,131,65.0,145.0,43.602665,1.451658,3.4,true,0.0,32
28,263,78,133,68.0,145.0,43.60264,1.451672,3.3,true,0.0,32
29,264,78,133,71.5,145.0,43.60261,1.451687,3.3,true,0.0,32
30,266,78,135,75.0,145.0,43.602585,1.451703,3.3,true,0.0,33
31,268,78,135,78.0,145.0,43.60256,1.451718,3.2,true,0.0,33
32,270,79,135,81.0,145.0,43.602528,1.451732,3.2,true,0.0,33
33,271,79,135,84.5,145.0,43.6025,1.451745,3.3,true,0.0,33
34,272,79,135,88.0,145.0,43.602474,1.451754,3.3,true,0.0,33
35,272,79,135,91.0,145.0,43.602444,1.451764,3.2,true,0.0,33
36,273,79,135,94.0,145.0,43.602413,1.45177,3.2,true,0.0,33
37,273,79,135,98.0,145.0,43.602383,1.451776,3.4,true,0.0,33
38,273,79,137,102.0,145.0,43.602352,1.451777,3.5,true,7.1,33
39,273,79,137,105.0,145.0,43.60232,1.451779,3.4,true,7.7,33
40,274,79,138,108.0,146.0,43.60229,1.451778,3.4,true,8.3,33
41,274,78,139,111.0,146.0,43.602264,1.451777,3.4,true,8.0,34
42,275,78,139,114.0,146.0,43.602234,1.451777,3.2,true,0.0,34
43,275,78,140,117.5,146.0,43.602203,1.451776,3.1,true,0.0,34
44,276,79,140,121.0,146.0,43.602173,1.451776,3.2,true,0.0,33
45,276,79,140,124.5,146.0,43.602142,1.451777,3.3,true,0.0,33
46,276,79,141,128.0,146.0,43.602116,1.451778,3.4,true,0.0,33
47,276,79,143,131.0,146.0,43.602085,1.451779,3.4,true,0.0,33
48,276,79,143,134.0,146.0,43.602055,1.451782,3.3,true,0.0,33
49,276,79,143,137.5,146.0,43.602024,1.451785,3.3,true,0.0,33
50,277,79,143,141.0,146.0,43.601994,1.45179,3.3,true,0.0,33
51,277,79,144,144.5,146.0,43.601967,1.451796,3.3,true,0.0,33
52,277,79,145,148.0,146.0,43.601936,1.451802,3.4,true,0.0,33
53,277,79,145,151.5,146.0,43.601906,1.451808,3.5,true,0.0,33
54,278,79,145,155.0,146.0,43.601875,1.451814,3.5,true,0.0,34
55,278,79,145,158.5,146.0,43.601845,1.45182,3.5,true,0.0,34
56,279,80,145,162.0,146.0,43.60181,1.451824,3.5,true,0.0,33
57,279,80,145,165.5,146.0,43.60178,1.451829,3.5,true,0.0,33
58,279,80,145,169.0,146.0,43.60175,1.451833,3.5,true,0.0,33
59,280,80,146,172.5,146.0,43.60172,1.451837,3.5,true,0.0,33
60,281,80,146,176.0,146.0,43.601685,1.451844,3.5,true,0.0,34
61,281,79,147,180.0,146.0,43.601654,1.451851,3.6,true,0.0,34
62,281,79,147,184.0,146.0,43.60162,1.451858,3.7,true,0.0,34
63,281,79,148,187.5,146.0,43.60159,1.451866,3.7,true,0.0,34
64,282,79,148,191.0,146.0,43.60156,1.451873,3.7,true,0.0,34
65,282,79,148,194.5,146.0,43.601524,1.451881,3.7,true,0.0,34
66,282,79,148,198.0,146.0,43.601494,1.451887,3.6,true,0.0,34
67,282,79,148,201.0,146.0,43.601463,1.451894,3.4,true,0.0,34
68,283,80,148,204.0,146.0,43.601437,1.4519,3.3,true,0.0,34
69,283,80,147,207.5,146.0,43.601406,1.451907,3.3,true,0.0,34
70,284,80,146,211.0,146.0,43.601376,1.451913,3.3,true,0.0,34
71,284,80,145,214.0,146.0,43.60135,1.45192,3.2,true,0.0,34
72,285,80,145,217.0,146.0,43.60132,1.451928,3.2,true,0.0,34
73,285,80,145,220.0,146.0,43.60129,1.451935,3.2,true,0.0,34
74,285,80,145,223.0,146.0,43.601265,1.451945,3.1,true,0.0,34
75,285,80,146,226.0,146.0,43.60124,1.451954,3.0,true,0.0,34
76,285,80,146,229.0,146.0,43.60121,1.451962,3.0,true,0.0,34
77,291,79,146,232.0,146.0,43.601185,1.45197,3.0,true,0.0,35
78,298,79,146,235.0,146.0,43.60116,1.451978,3.0,true,0.0,36
79,298,79,146,238.5,146.0,43.60113,1.451986,3.1,true,0.0,36
80,298,79,146,242.0,146.0,43.6011,1.451993,3.2,true,0.0,36
81,291,79,148,245.0,146.0,43.601074,1.452,3.2,true,0.0,35
82,285,79,149,248.0,146.0,43.601048,1.452006,3.2,true,0.0,34
83,284,79,150,251.0,146.0,43.60102,1.452012,3.2,true,8.0,34
84,284,79,150,254.0,146.0,43.60099,1.452017,3.1,true,0.0,34
85,283,79,150,257.5,147.0,43.600964,1.452023,3.1,true,0.0,34
86,283,79,150,261.0,146.0,43.600937,1.452029,3.2,true,0.0,34
87,283,79,150,264.0,146.0,43.60091,1.452036,3.2,true,-8.3,34
88,283,79,150,267.0,146.0,43.600883,1.452043,3.2,true,0.0,34
89,283,79,149,269.5,146.0,43.600857,1.452051,3.1,true,0.0,34
90,283,79,149,272.0,146.0,43.60083,1.452059,2.9,true,0.0,34
91,282,79,149,275.0,146.0,43.600803,1.452066,2.8,true,0.0,34
92,282,79,149,278.0,146.0,43.600777,1.452074,2.8,true,0.0,34
93,282,79,149,281.0,146.0,43.600754,1.452082,2.8,true,0.0,34
94,282,79,149,284.0,146.0,43.600727,1.45209,2.9,true,0.0,34
95,282,79,149,287.5,146.0,43.6007,1.452098,3.1,true,0.0,34
96,282,79,149,291.0,146.0,43.600674,1.452106,3.2,true,0.0,34
97,281,79,149,294.0,146.0,43.600647,1.452114,3.2,true,0.0,34
98,281,79,150,297.0,146.0,43.60062,1.452121,3.2,true,0.0,34
99,281,79,150,300.0,146.0,43.600594,1.452129,3.2,true,0.0,34
100,281,79,150,303.0,146.0,43.600567,1.452137,3.1,true,0.0,34
101,281,79,150,306.0,146.0,43.600536,1.452146,3.0,true,0.0,34
102,281,79,150,309.0,146.0,43.60051,1.452155,3.0,true,0.0,34
103,280,79,150,312.0,146.0,43.600483,1.452165,3.0,true,0.0,34
104,280,79,149,315.0,146.0,43.60046,1.452177,3.0,true,0.0,34
105,280,79,149,318.0,146.0,43.600433,1.45219,3.0,true,0.0,34
106,280,80,149,321.0,146.0,43.60041,1.452206,3.0,true,0.0,33
107,279,80,149,324.0,146.0,43.600388,1.452222,3.0,true,0.0,33
108,279,80,150,327.0,146.0,43.60037,1.452245,3.0,true,0.0,33
109,278,80,149,330.0,146.0,43.600346,1.452269,3.0,true,0.0,33
110,278,80,149,333.0,146.0,43.60033,1.452297,3.0,true,0.0,33
111,277,79,149,335.5,146.0,43.600315,1.452325,2.9,true,0.0,33
112,277,79,149,338.0,146.0,43.600304,1.452358,2.8,true,0.0,33
113,277,79,149,341.0,146.0,43.600296,1.45239,2.8,true,0.0,33
114,277,79,149,344.0,146.0,43.60029,1.452425,2.8,true,0.0,33
115,276,79,148,347.0,146.0,43.600285,1.45246,2.8,true,0.0,33
116,276,79,148,350.0,146.0,43.600277,1.452496,2.9,true,0.0,33
117,276,79,148,353.0,146.0,43.600273,1.452532,3.0,true,0.0,33
118,276,79,148,356.0,146.0,43.60027,1.452568,3.0,true,0.0,33
119,275,79,148,358.5,146.0,43.600266,1.452604,2.9,true,0.0,33
120,275,79,149,361.0,146.0,43.60026,1.452639,2.8,true,0.0,33
121,275,78,149,364.0,146.0,43.600258,1.452674,2.8,true,0.0,34
122,275,78,149,367.0,146.0,43.600254,1.452708,2.8,true,0.0,34
123,274,78,148,370.0,146.0,43.600246,1.452742,2.8,true,0.0,34
124,273,78,149,373.0,146.0,43.600243,1.452776,2.9,true,0.0,33
125,272,78,148,375.5,146.0,43.60024,1.45281,2.9,true,0.0,33
126,271,78,148,378.0,146.0,43.60023,1.452843,2.8,true,0.0,33
127,270,79,148,380.5,146.0,43.600227,1.452876,2.7,true,0.0,33
128,270,79,149,383.0,146.0,43.60022,1.452909,2.6,true,0.0,33
129,269,80,148,386.0,146.0,43.600216,1.452941,2.6,true,0.0,32
130,269,80,148,389.0,146.0,43.600212,1.452975,2.7,true,0.0,32
131,268,80,147,391.5,146.0,43.60021,1.453008,2.7,true,0.0,32
132,268,80,148,394.0,146.0,43.600204,1.453043,2.7,true,0.0,32
133,267,80,147,397.5,146.0,43.6002,1.453078,2.9,true,0.0,32
134,266,80,147,401.0,146.0,43.600197,1.453114,3.0,true,0.0,32
135,265,80,147,403.5,146.0,43.600193,1.453149,2.9,true,0.0,32
136,265,80,147,406.0,146.0,43.600185,1.453185,2.9,true,0.0,32
137,264,80,147,409.0,146.0,43.60018,1.453222,3.0,true,0.0,32
138,264,80,147,412.0,146.0,43.600178,1.453259,2.9,true,0.0,32
139,264,80,148,415.5,146.0,43.60017,1.453296,2.9,true,0.0,32
140,264,80,148,419.0,146.0,43.60017,1.453334,3.1,true,0.0,32
141,264,80,148,422.0,146.0,43.600166,1.453372,3.2,true,0.0,32
142,264,80,148,425.0,146.0,43.600166,1.453412,3.2,true,0.0,32
143,262,80,149,428.0,146.0,43.600166,1.453451,3.2,true,0.0,31
144,260,80,149,431.0,146.0,43.60017,1.453489,3.1,true,0.0,31
145,260,80,150,434.0,146.0,43.600174,1.453528,3.0,true,0.0,31
146,260,80,150,437.0,146.0,43.600178,1.453566,3.0,true,0.0,31
147,260,80,150,440.5,146.0,43.60018,1.453604,3.1,true,0.0,31
148,260,80,150,444.0,146.0,43.600185,1.453642,3.2,true,0.0,31
149,260,80,151,446.5,146.0,43.60019,1.453679,3.1,true,0.0,31
150,261,80,151,449.0,146.0,43.60019,1.453716,3.0,true,0.0,31
151,261,79,151,452.5,146.0,43.600197,1.453753,3.1,true,0.0,32
152,261,79,151,456.0,146.0,43.6002,1.45379,3.1,true,0.0,32
153,261,79,151,459.0,146.0,43.600204,1.453828,3.0,true,0.0,32
154,261,80,151,462.0,146.0,43.60021,1.453865,3.1,true,0.0,31
155,261,79,151,465.0,146.0,43.600216,1.453903,3.2,true,0.0,32
156,262,79,151,468.0,146.0,43.60022,1.453941,3.1,true,0.0,32
157,262,79,151,471.0,146.0,43.600224,1.453979,3.0,true,0.0,32
158,262,79,151,474.0,146.0,43.60023,1.454017,3.0,true,0.0,32
159,262,79,151,477.0,146.0,43.600235,1.454054,3.0,true,0.0,32
160,262,79,151,480.0,146.0,43.600243,1.454091,3.0,true,0.0,32
161,262,79,151,483.0,146.0,43.600246,1.454128,3.0,true,0.0,32
162,262,79,150,486.0,146.0,43.60025,1.454165,3.0,true,0.0,32
163,262,79,151,489.0,146.0,43.600254,1.454202,3.0,true,8.0,32
164,262,80,151,492.0,146.0,43.600258,1.45424,3.0,true,7.7,31
165,262,80,151,495.5,147.0,43.60026,1.454277,3.1,true,7.7,31
166,262,80,151,499.0,147.0,43.600266,1.454314,3.2,true,7.7,31
167,262,80,152,502.0,147.0,43.600273,1.454351,3.2,true,0.0,31
168,262,80,152,505.0,147.0,43.600277,1.454388,3.2,true,0.0,31
169,262,80,152,508.0,147.0,43.600285,1.454426,3.2,true,-8.3,31
170,262,80,152,511.0,147.0,43.60029,1.454463,3.1,true,-8.3,31
171,262,80,153,514.0,146.0,43.600296,1.4545,3.0,true,-8.3,31
172,262,80,153,517.0,146.0,43.6003,1.454536,3.0,true,-8.3,31
173,262,80,153,520.0,146.0,43.600307,1.454573,3.0,true,0.0,31
174,262,80,153,523.0,146.0,43.600315,1.454608,3.0,true,0.0,31
175,262,80,154,526.0,146.0,43.600323,1.454644,3.0,true,0.0,31
