kilometer,time_seconds,heart_rate,elevation_gain,distance
1.0,327,147.0,N/A,1000.0
1.0,316,151.4,N/A,1000.0
1.0,318,152.3,N/A,1000.0
1.0,323,150.5,N/A,1000.0
1.0,328,147.8,N/A,1000.0
1.0,317,148.7,N/A,1000.0
1.0,320,150.6,N/A,1000.0
1.0,317,152.5,N/A,1000.0
1.0,324,151.4,N/A,1000.0
1.0,328,147.3,N/A,1000.0
1.0,315,150.8,N/A,1000.0
1.0,316,150.6,N/A,1000.0
1.0,322,146.3,N/A,1000.0
1.0,323,148.6,N/A,1000.0
1.0,319,151.8,N/A,1000.0
1.0,321,150.8,N/A,1000.0
1.0,324,151.4,N/A,1000.0
1.0,323,153.8,N/A,1000.0
1.0,321,154.7,N/A,1000.0
1.0,324,151.6,N/A,1000.0
1.0,316,153.8,N/A,1000.0
1.0,320,156.0,N/A,1000.0
1.0,322,154.9,N/A,1000.0
1.0,313,155.6,N/A,1000.0
1.0,317,156.0,N/A,1000.0
1.0,328,157.4,N/A,1000.0
1.0,322,154.1,N/A,1000.0
1.0,314,155.8,N/A,1000.0
1.0,327,158.0,N/A,1000.0
1.0,330,157.5,N/A,1000.0
1.0,318,156.1,N/A,1000.0
1.0,307,155.5,N/A,1000.0
1.0,304,162.9,N/A,1000.0
1.0,302,163.1,N/A,1000.0
1.0,307,156.7,N/A,1000.0
1.0,344,156.3,N/A,1000.0
1.0,329,158.7,N/A,1000.0
1.0,318,161.5,N/A,1000.0
1.0,330,158.5,N/A,1000.0
1.0,320,161.8,N/A,1000.0
1.0,334,157.5,N/A,1000.0
1.0,314,162.3,N/A,1000.0
0.55852,169,157.7,N/A,558.52
