activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,total_elevation_gain,average_heart_rate,max_heart_rate,suffer_score,average_watts,max_watts,total_steps,average_stride_length,average_cadence
Afternoon Run,2024-12-07T14:12:03Z,Run,17.05,8094,7527,8.15,16.92,723.0,152.3,183.0,202.0,241.4,692,N/A,N/A,74.7
Course à pied dans l'après-midi,2024-12-05T13:17:03Z,Run,12.8,3856,3835,12.02,21.6,121.0,160.1,179.0,157.0,290.2,387,N/A,N/A,80.2
Course à pied dans l'après-midi,2024-12-04T14:36:41Z,Run,5.6,1791,1787,11.29,19.8,21.0,151.4,165.0,51.0,270.8,527,N/A,N/A,79.2
Trail le matin,2024-11-30T07:08:02Z,Run,15.03,6764,6347,8.52,16.2,537.0,150.1,174.0,154.0,239.1,691,N/A,N/A,76.5
Course à pied en soirée,2024-11-28T20:07:19Z,Run,4.73,1966,1960,8.69,12.24,16.0,133.4,148.0,15.0,208.6,264,N/A,N/A,78.9
Evening Run,2024-11-26T18:47:45Z,Run,6.71,1968,1964,12.3,18.0,10.0,157.1,181.0,71.0,294.3,445,N/A,N/A,80.3
Course à pied dans l'après-midi,2024-11-21T13:22:02Z,Run,6.66,4198,3253,7.37,17.28,533.0,148.1,182.0,78.0,251.5,925,N/A,N/A,74.4
Course à pied dans l'après-midi,2024-11-19T16:45:22Z,Run,10.04,3217,2845,12.7,18.36,278.0,159.3,179.0,109.0,315.9,428,N/A,N/A,79.8
Course à pied dans l'après-midi,2024-11-17T15:35:48Z,Run,4.65,1307,1304,12.84,16.2,7.0,157.0,180.0,48.0,304.6,374,N/A,N/A,80.8
Marathon de Toulouse 2024 !,2024-11-10T07:49:57Z,Run,42.56,13653,13632,11.22,15.84,107.0,154.3,174.0,433.0,269.4,341,N/A,N/A,81.1
W12 S1,2024-11-07T08:34:23Z,Run,4.12,1585,1578,9.4,11.52,12.0,131.5,148.0,11.0,225.1,259,N/A,N/A,79.1
W11 S4,2024-11-04T17:41:33Z,Run,6.95,2335,2335,10.72,13.32,10.0,152.3,160.0,67.0,254.4,293,N/A,N/A,78.1
W11 S3,2024-11-02T08:24:18Z,Run,3.9,1645,1567,8.96,12.6,42.0,133.0,159.0,13.0,219.8,337,N/A,N/A,78.3
W11 S2,2024-10-31T18:30:52Z,Run,11.28,3316,3292,12.34,16.92,23.0,159.6,180.0,127.0,295.8,414,N/A,N/A,79.5
W11 S1,2024-10-29T18:16:10Z,Run,7.14,2705,2692,9.54,15.12,29.0,138.0,156.0,32.0,227.9,355,N/A,N/A,76.9
W10 S4,2024-10-27T08:44:54Z,Run,16.12,5199,5039,11.52,14.04,78.0,155.4,163.0,159.0,275.0,345,N/A,N/A,78.2
W10 S3,2024-10-26T17:02:17Z,Run,5.17,2259,1971,9.44,14.4,29.0,141.6,158.0,35.0,228.3,311,N/A,N/A,74.4
W10 S2,2024-10-24T18:16:28Z,Run,12.33,3841,3812,11.65,18.0,26.0,147.6,171.0,87.0,278.7,386,N/A,N/A,79.5
W10 S1,2024-10-22T18:32:38Z,Run,8.23,3001,3001,9.87,16.2,25.0,138.2,168.0,42.0,236.9,358,N/A,N/A,78.3
W9 S4,2024-10-20T08:59:18Z,Run,28.01,10439,9071,11.12,17.64,225.0,151.9,173.0,256.0,269.8,384,N/A,N/A,79.6
W9 S3,2024-10-19T09:42:01Z,Run,8.51,2851,2845,10.77,19.8,20.0,144.2,180.0,54.0,253.5,477,N/A,N/A,79.9
W9 S2,2024-10-17T17:06:55Z,Run,12.95,4506,4500,10.36,13.68,21.0,135.9,157.0,39.0,247.2,285,N/A,N/A,79.6
