activity_id,start_date_local,suffer_score,zone_0,zone_1,zone_2,zone_3,zone_4,zone_5
13156062297,2024-12-20T16:30:01Z,64.0,160,3501,124,0,0,0
13152116132,2024-12-20T01:10:45Z,2.0,45,168,3,0,0,0
13149315761,2024-12-19T16:11:18Z,45.0,25,1171,675,1,0,0
13143604323,2024-12-18T18:14:32Z,54.0,71,2639,168,0,0,0
13129036518,2024-12-16T17:59:29Z,10.0,3705,147,0,0,0,0
13128501143,2024-12-16T17:01:11Z,48.0,31,1965,372,15,0,0
13108031104,2024-12-13T16:32:15Z,68.0,74,3441,81,0,0,0
13106386624,2024-12-13T12:21:45Z,8.0,3187,32,0,0,0,0
13098418189,2024-12-12T08:14:02Z,91.0,571,2450,1757,93,0,0
13085926921,2024-12-10T14:09:03Z,94.0,51,1253,1019,188,0,0
13079055370,2024-12-09T15:03:33Z,8.0,1113,824,0,0,0,0
13078742164,2024-12-09T13:36:31Z,88.0,87,720,2535,0,0,0
13066158103,2024-12-07T14:12:03Z,202.0,411,4969,1502,119,0,0
13059850611,2024-12-06T16:49:19Z,7.0,2658,11,0,0,0,0
13052058243,2024-12-05T13:17:03Z,157.0,45,1767,1845,149,0,0
13045762437,2024-12-04T15:16:34Z,12.0,3193,620,0,0,0,0
13045288837,2024-12-04T14:36:41Z,51.0,59,1619,109,0,0,0
13013313928,2024-11-30T07:08:02Z,154.0,226,4588,1057,0,0,0
13004719726,2024-11-28T20:07:19Z,15.0,508,1451,0,0,0,0
12997501970,2024-11-27T17:59:51Z,6.0,1434,271,0,0,0,0
12989144169,2024-11-26T18:47:45Z,71.0,65,1195,368,325,0,0
12981047384,2024-11-25T17:19:23Z,12.0,3222,331,0,0,0,0
12951353967,2024-11-21T13:22:02Z,78.0,396,1917,538,294,0,0
12942501928,2024-11-20T09:41:46Z,14.0,4243,437,0,0,0,0
12937504525,2024-11-19T16:45:22Z,109.0,81,1090,1565,103,0,0
12929973974,2024-11-18T16:35:35Z,16.0,2094,421,0,0,0,0
12929974183,2024-11-18T16:14:06Z,7.0,1292,183,0,0,0,0
12927646045,2024-11-18T10:02:28Z,9.0,3087,279,0,0,0,0
12922702048,2024-11-17T15:35:48Z,48.0,84,542,633,45,0,0
12866681110,2024-11-10T07:49:57Z,433.0,19,11501,2095,0,0,0
12842566721,2024-11-07T08:34:23Z,11.0,537,1041,0,0,0,0
12822123920,2024-11-04T17:41:33Z,67.0,38,2293,4,0,0,0
12801858726,2024-11-02T08:24:18Z,13.0,458,1101,0,0,0,0
12791365584,2024-10-31T18:30:52Z,127.0,76,1771,1268,168,0,0
12775207634,2024-10-29T18:16:10Z,32.0,228,2464,0,0,0,0
12755614228,2024-10-27T08:44:54Z,159.0,65,4403,568,0,0,0
12750166291,2024-10-26T17:02:17Z,35.0,172,1785,0,0,0,0
12735394904,2024-10-24T18:16:28Z,87.0,737,2126,949,0,0,0
12718883113,2024-10-22T18:32:38Z,42.0,914,2079,8,0,0,0
12699118490,2024-10-20T08:59:18Z,256.0,212,7459,1248,0,0,0
12690231444,2024-10-19T09:42:01Z,54.0,451,1728,485,181,0,0
12686703476,2024-10-18T18:46:09Z,24.0,1665,1072,0,0,0,0
12678567152,2024-10-17T17:06:55Z,39.0,78,4409,0,0,0,0
12670527918,2024-10-16T17:12:28Z,80.0,57,3300,10,0,0,0
12658489314,2024-10-15T07:01:08Z,153.0,139,1973,1390,498,0,0
12644113219,2024-10-13T11:10:57Z,126.0,54,5316,27,0,0,0
12638196781,2024-10-12T16:45:18Z,40.0,98,2596,0,0,0,0
12622637316,2024-10-10T17:33:54Z,88.0,50,2280,396,165,0,0
12615001538,2024-10-09T17:33:32Z,15.0,2604,341,0,0,0,0
12604411132,2024-10-08T12:19:26Z,61.0,30,2364,0,0,0,0
12587204620,2024-10-06T08:03:02Z,238.0,200,7298,1010,0,0,0
12578471065,2024-10-05T11:04:04Z,65.0,84,1243,146,377,0,0
12570870859,2024-10-04T10:43:47Z,19.0,3258,348,0,0,0,0
12562834021,2024-10-03T10:11:47Z,103.0,62,4135,0,0,0,0
12548602943,2024-10-01T15:54:38Z,90.0,458,1887,1064,61,0,0
12530008993,2024-09-29T09:41:04Z,165.0,415,5030,985,0,0,0
12507860169,2024-09-26T12:49:05Z,62.0,62,3832,0,0,0,0
12501672473,2024-09-25T17:13:56Z,14.0,2746,356,0,0,0,0
12492331733,2024-09-24T15:13:40Z,102.0,60,2824,637,72,0,0
12474007725,2024-09-22T10:37:17Z,178.0,64,4352,1243,39,0,0
12469803627,2024-09-21T14:07:44Z,45.0,86,1898,147,24,0,0
12449764922,2024-09-19T13:05:23Z,69.0,39,3164,429,0,0,0
12443258298,2024-09-18T17:55:07Z,12.0,2606,432,0,0,0,0
12433109052,2024-09-17T15:35:52Z,79.0,58,1429,1051,306,0,0
12417173359,2024-09-15T15:14:11Z,64.0,414,2137,888,0,0,0
12407997473,2024-09-14T15:38:15Z,51.0,0,925,431,234,0,0
12391341933,2024-09-12T13:36:55Z,94.0,0,1096,1222,283,0,0
12376817220,2024-09-10T18:53:48Z,15.0,0,2786,0,0,0,0
12355006292,2024-09-08T08:37:02Z,14.0,12,1891,4,0,0,0
12349648976,2024-09-07T14:59:41Z,95.0,0,865,1626,644,0,0
12335066753,2024-09-05T19:29:48Z,17.0,88,3201,0,0,0,0
12317239730,2024-09-03T19:06:40Z,29.0,197,1658,573,86,0,0
12274159195,2024-08-29T17:39:03Z,74.0,284,235,1489,491,0,0
12245035926,2024-08-26T10:56:12Z,40.0,62,2487,321,0,0,0
12220465109,2024-08-23T11:32:07Z,60.0,40,564,1367,251,0,0
12179595896,2024-08-18T15:17:41Z,9.0,1602,482,0,0,0,0
12167870410,2024-08-17T09:04:54Z,78.0,0,882,1963,0,0,0
12154884958,2024-08-15T14:21:36Z,22.0,8738,415,6,0,0,0
12138529265,2024-08-13T18:48:18Z,60.0,0,315,925,482,0,0
12138529330,2024-08-13T18:28:45Z,6.0,52,1064,0,0,0,0
12103516458,2024-08-09T15:39:03Z,8.0,2292,241,0,0,0,0
12096397341,2024-08-08T17:20:21Z,91.0,44,676,2524,6,0,0
12087274366,2024-08-07T10:14:19Z,N/A,0,0,0,0,0,0
12063391128,2024-08-04T20:40:36Z,31.0,0,650,630,0,0,0
12054324222,2024-08-03T16:05:16Z,6.0,1771,234,0,0,0,0
12054324832,2024-08-03T11:56:38Z,20.0,5671,909,0,0,0,0
12044149260,2024-08-02T11:46:14Z,31.0,16498,166,0,0,0,0
12025640767,2024-07-31T09:19:56Z,230.0,0,1265,5450,767,0,0
12019633953,2024-07-30T17:13:14Z,7.0,1681,243,0,0,0,0
12004819537,2024-07-28T19:26:15Z,90.0,0,466,1484,710,0,0
11972180530,2024-07-24T21:05:07Z,52.0,0,169,648,608,0,0
11963261901,2024-07-23T20:42:34Z,7.0,51,1559,27,0,0,0
11945384991,2024-07-21T15:23:12Z,N/A,0,0,0,0,0,0
11904973253,2024-07-16T21:18:04Z,61.0,0,0,0,0,0,0
11816187957,2024-07-05T18:58:51Z,107.0,0,353,2708,290,0,0
11799893584,2024-07-03T18:24:26Z,10.0,153,1021,251,0,0,0
11773803815,2024-06-30T11:39:58Z,109.0,0,0,0,0,0,0
11761245601,2024-06-28T18:54:30Z,7.0,0,0,0,0,0,0
11758839454,2024-06-28T12:10:30Z,13.0,0,0,0,0,0,0
11755049706,2024-06-27T21:42:21Z,44.0,0,0,0,0,0,0
11722069972,2024-06-23T17:40:21Z,68.0,0,0,0,0,0,0
11699229146,2024-06-20T19:13:29Z,64.0,0,0,0,0,0,0
11682973190,2024-06-18T19:29:31Z,23.0,0,0,0,0,0,0
11534405845,2024-05-30T19:08:06Z,70.0,0,0,0,0,0,0
11189900231,2024-04-15T20:52:49Z,N/A,0,0,0,0,0,0
8778458477,2023-03-26T09:25:21Z,N/A,0,0,0,0,0,0
11422044496,2023-02-28T17:48:22Z,24.0,0,0,0,0,0,0
8638304420,2023-02-28T17:35:13Z,N/A,0,0,0,0,0,0
8631714779,2023-02-27T17:53:11Z,20.0,0,0,0,0,0,0
8609641057,2023-02-23T12:53:19Z,32.0,0,0,0,0,0,0
8608477484,2023-02-23T09:09:30Z,26.0,0,0,0,0,0,0
8596510621,2023-02-21T07:45:19Z,24.0,0,0,0,0,0,0
8507274804,2023-02-05T07:53:28Z,49.0,0,0,0,0,0,0
8431357584,2023-01-22T07:53:40Z,13.0,0,0,0,0,0,0
8423630866,2023-01-20T18:09:51Z,148.0,0,0,0,0,0,0
8270632914,2022-12-20T14:43:33Z,N/A,0,0,0,0,0,0
8174017038,2022-11-27T08:25:09Z,31.0,0,0,0,0,0,0
7813327420,2022-09-15T18:28:30Z,30.0,0,0,0,0,0,0
7762127558,2022-08-30T21:23:22Z,9.0,0,0,0,0,0,0
7290862752,2022-06-11T16:12:09Z,45.0,0,0,0,0,0,0
