activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,calories,total_elevation_gain,total_elevation_loss,average_grade,average_heart_rate,max_heart_rate,suffer_score,heart_rate_zone1_time,heart_rate_zone2_time,heart_rate_zone3_time,heart_rate_zone4_time,heart_rate_zone5_time,average_watts,max_watts,normalized_power,total_steps,average_stride_length,average_cadence,start_latitude,start_longitude,start_altitude,end_latitude,end_longitude,end_altitude
Afternoon Run,2024-12-07T14:12:03Z,Run,17.05,8094,7527,8.15,16.92,N/A,723.0,0,N/A,152.3,183.0,202.0,N/A,N/A,N/A,N/A,N/A,241.4,692,N/A,N/A,N/A,74.7,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-12-05T13:17:03Z,Run,12.8,3856,3835,12.02,21.6,N/A,121.0,0,N/A,160.1,179.0,157.0,N/A,N/A,N/A,N/A,N/A,290.2,387,N/A,N/A,N/A,80.2,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-12-04T14:36:41Z,Run,5.6,1791,1787,11.29,19.8,N/A,21.0,0,N/A,151.4,165.0,51.0,N/A,N/A,N/A,N/A,N/A,270.8,527,N/A,N/A,N/A,79.2,N/A,N/A,N/A,N/A,N/A,N/A
Trail le matin,2024-11-30T07:08:02Z,Run,15.03,6764,6347,8.52,16.2,N/A,537.0,0,N/A,150.1,174.0,154.0,N/A,N/A,N/A,N/A,N/A,239.1,691,N/A,N/A,N/A,76.5,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-11-28T20:07:19Z,Run,4.73,1966,1960,8.69,12.24,N/A,16.0,0,N/A,133.4,148.0,15.0,N/A,N/A,N/A,N/A,N/A,208.6,264,N/A,N/A,N/A,78.9,N/A,N/A,N/A,N/A,N/A,N/A
Evening Run,2024-11-26T18:47:45Z,Run,6.71,1968,1964,12.3,18.0,N/A,10.0,0,N/A,157.1,181.0,71.0,N/A,N/A,N/A,N/A,N/A,294.3,445,N/A,N/A,N/A,80.3,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-11-21T13:22:02Z,Run,6.66,4198,3253,7.37,17.28,N/A,533.0,0,N/A,148.1,182.0,78.0,N/A,N/A,N/A,N/A,N/A,251.5,925,N/A,N/A,N/A,74.4,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-11-19T16:45:22Z,Run,10.04,3217,2845,12.7,18.36,N/A,278.0,0,N/A,159.3,179.0,109.0,N/A,N/A,N/A,N/A,N/A,315.9,428,N/A,N/A,N/A,79.8,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-11-17T15:35:48Z,Run,4.65,1307,1304,12.84,16.2,N/A,7.0,0,N/A,157.0,180.0,48.0,N/A,N/A,N/A,N/A,N/A,304.6,374,N/A,N/A,N/A,80.8,N/A,N/A,N/A,N/A,N/A,N/A
Marathon de Toulouse 2024 !,2024-11-10T07:49:57Z,Run,42.56,13653,13632,11.22,15.84,N/A,107.0,0,N/A,154.3,174.0,433.0,N/A,N/A,N/A,N/A,N/A,269.4,341,N/A,N/A,N/A,81.1,N/A,N/A,N/A,N/A,N/A,N/A
W12 S1,2024-11-07T08:34:23Z,Run,4.12,1585,1578,9.4,11.52,N/A,12.0,0,N/A,131.5,148.0,11.0,N/A,N/A,N/A,N/A,N/A,225.1,259,N/A,N/A,N/A,79.1,N/A,N/A,N/A,N/A,N/A,N/A
W11 S4,2024-11-04T17:41:33Z,Run,6.95,2335,2335,10.72,13.32,N/A,10.0,0,N/A,152.3,160.0,67.0,N/A,N/A,N/A,N/A,N/A,254.4,293,N/A,N/A,N/A,78.1,N/A,N/A,N/A,N/A,N/A,N/A
